Texto,Idioma,Longitud
reanudación del período de sesiones,es,5
el parlamento de pie guarda un minuto de silencio,es,9
todo ello de conformidad con los principios que siempre hemos apoyado,es,11
orden de los trabajos,es,4
aplausos del grupo pse,es,4
aplausos del grupo ppede,es,4
¿algún colega tomará la palabra en nombre del grupo para justificar esta petición,es,13
gracias señor poettering,es,3
escuchemos ahora al sr wurtz que hablará en contra de la petición,es,12
el parlamento rechaza la propuesta por  votos a favor  votos en contra y  abstenciones,es,14
en efecto si se suman los dos colegas que han hablado el resultado sería,es,14
señora presidenta la presidencia ha proclamado el resultado de la votación no caben modificaciones,es,14
continuamos con las otras modificaciones del orden del día,es,9
el parlamento aprueba el orden de los trabajos así modificado,es,10
consejeros de seguridad para el transporte de mercancías peligrosas,es,9
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
transporte de mercancías peligrosas por carretera,es,6
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
coordinación fondos estructuralesfondo de cohesión,es,5
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
situación y evolución socioeconómica de las regiones de la unión,es,10
señor presidente mis felicitaciones para el ponente por su informe tan minucioso,es,12
muchas gracias señor comisario,es,4
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
se levanta la sesión a las  horas,es,7
aprobación del acta de la sesión anterior,es,7
el acta de la sesión anterior ha sido distribuida,es,9
¿hay alguna objeción,es,3
muchas gracias señor cox comprendo el sentido de su intervención y tomamos nota de ello,es,15
el acta queda aprobada,es,4
reforma de la política europea de competencia,es,7
el libro blanco pretende resolver esos problemas y por lo tanto apoyamos sus propuestas,es,14
muchas gracias señor comisario monti,es,5
el debate conjunto queda cerrado,es,5
la votación tendrá lugar el miércoles a las  horas,es,9
protección penal de los intereses financieros de la unión,es,9
muchas gracias señora comisaria schreyer,es,5
el debate queda cerrado,es,4
la votación tendrá lugar el miércoles a las  horas,es,9
el parlamento aprueba la propuesta de la comisión,es,8
el parlamento aprueba la propuesta de la comisión,es,8
el parlamento aprueba la propuesta de la comisión,es,8
procedimiento sin debate,es,3
el parlamento aprueba la resolución legislativa,es,6
el presidente declara aprobada la posición común así modificada,es,9
el parlamento aprueba la resolución legislativa,es,6
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
explicaciones de voto recursos propios,es,5
informe koch a,es,3
informe koch a,es,3
informe schroedter a,es,3
informe berend a,es,3
informe von wogau a,es,4
informe rapkay a,es,3
a eso se debe nuestro voto en contra de este informe,es,11
informe jonckheer a,es,3
informe langen a,es,3
la sesión interrumpida a las   horas se reanuda a las  horas,es,11
marea negra en francia,es,4
